,Unnamed: 0,Gene,n_cells,highly_variable,means,dispersions,dispersions_norm
8224,8224,HELQ,1999,True,0.21330156177925122,2.0638896645425033,0.8852044
8228,8228,HEMGN,2366,True,0.46476552165881924,3.3575346022501487,5.6270256
8234,8234,HEPHL1,21,True,0.003245787515938296,2.2266871743947885,1.4670138
8247,8247,HERC5,2982,True,0.3251455337511697,2.2727690226815223,1.1881948
8248,8248,HERC6,1490,True,0.17220580370657593,2.0583638477500723,0.8654561
8249,8249,HERPUD1,3735,True,0.46046308281467074,2.328402921541956,1.4158471
8251,8251,HES1,336,True,0.040984908969530776,2.014720705317998,0.70948327
8254,8254,HES4,100,True,0.013760323596228172,2.397771586717294,2.078439
8260,8260,HEXA-AS1,62,True,0.007623450920191006,2.1123084433352695,1.0582445
8270,8270,HFM1,121,True,0.01172682304545613,2.145962971294357,1.1785198
8273,8273,HGF,2082,True,0.23424228670175945,2.0371140404060495,0.78951305
8282,8282,HHIP,21,True,0.0034740907795135965,2.2132103426272987,1.41885
8283,8283,HHIP-AS1,40,True,0.005649090589364432,2.3262244967766366,1.8227425
8292,8292,HIC2,809,True,0.0834381667065213,2.0331316231419287,0.7752806
8313,8313,HIP1R,466,True,0.06163530421557678,2.129564815243797,1.1199157
8316,8316,HIPK2,5742,True,0.6346922018604672,2.286425617102271,0.7850182
8322,8322,HIST1H1B,8137,True,1.324425272861699,3.4710668276385177,2.9017785
8324,8324,HIST1H1D,15277,True,1.6630791671275647,2.737163455393422,0.7568787
8332,8332,HIST1H2AG,2662,True,0.26310432608070844,2.02751960710356,0.7552243
8335,8335,HIST1H2AJ,3804,True,0.46760469469831833,2.5248101755830152,2.21954
8342,8342,HIST1H2BC,2512,True,0.25897793559069376,2.0482098786076888,0.8291676
8346,8346,HIST1H2BG,2092,True,0.24979926089651022,2.2985927888070945,1.7239916
8367,8367,HIST1H4C,20832,True,2.3049224293273607,3.7122086563492163,2.7545786
8394,8394,HIVEP1,1804,True,0.2070943369881231,2.0844061585817664,0.9585267
8395,8395,HIVEP2,1703,True,0.24343365983732665,2.234888837562632,1.496325
8401,8401,HKDC1,69,True,0.01170998233973877,2.094611007661482,0.994997
8404,8404,HLA-B,30879,True,2.7570068394835614,2.7477543249276626,0.8229276
8410,8410,HLA-DPA1,10653,True,1.2165909677109017,2.835688644229161,1.4511012
8411,8411,HLA-DPB1,9520,True,1.0615958592381676,2.6543349029370336,1.6277506
